original,male,female
"I envy people who have big families, because I too would like to have big family get-togethers.","Závidím ľuďom, ktorí majú veľké rodiny, pretože aj ja by som chcel mať veľké rodinné stretnutia.","Závidím ľuďom, ktorí majú veľké rodiny, pretože aj ja by som chcela mať veľké rodinné stretnutia."
"In the future, I would like to adopt a child.",V budúcnosti by som si chcel adoptovať dieťa.,V budúcnosti by som si chcela adoptovať dieťa.
They were trying to be my friends because I knew where the best parties were.,"Snažili sa byť mojimi priateľmi, pretože som vedel, kde sú najlepšie párty.","Snažili sa byť mojimi priateľmi, pretože som vedela, kde sú najlepšie párty."
I told my partner that my sexual needs were not satisfied.,"Povedal som svojmu partnerovi, že moje sexuálne potreby nie sú uspokojené.","Povedala som svojmu partnerovi, že moje sexuálne potreby nie sú uspokojené."
I like changing the oil in cars.,Rád mením olej v autách.,Rada mením olej v autách.
The recipe was really hard but I still tried to cook it.,"Recept bol naozaj ťažký, ale aj tak som sa ho snažil uvariť.","Recept bol naozaj ťažký, ale aj tak som sa ho snažila uvariť."
I like to work in a competitive environment.,Rád pracujem v konkurenčnom prostredí.,Rada pracujem v konkurenčnom prostredí.
I bought mango scented cleaning products so I enjoy cleaning even more.,"Kúpil som si čistiace prostriedky s vôňou manga, takže si čistenie užívam ešte viac.","Kúpila som si čistiace prostriedky s vôňou manga, takže si čistenie užívam ešte viac."
I always sought instant gratification.,Vždy som hľadal okamžité uspokojenie.,Vždy som hľadala okamžité uspokojenie.
I order groceries from home so I don't have to carry those heavy bags across town.,"Objednávam si potraviny z domu, aby som nemusel nosiť tie ťažké tašky cez mesto.","Objednávam si potraviny z domu, aby som nemusela nosiť tie ťažké tašky cez mesto."
I asked them to come see the gig with me.,"Požiadal som ich, aby sa so mnou prišli pozrieť na koncert.","Požiadala som ich, aby sa so mnou prišli pozrieť na koncert."
"If anyone expresses interest, I am ready to help them with anything.","Ak niekto prejaví záujem, som pripravený mu s čímkoľvek pomôcť.","Ak niekto prejaví záujem, som pripravená mu s čímkoľvek pomôcť."
I got into a commercial for a new face cream.,Dostal som sa do reklamy na nový krém na tvár.,Dostala som sa do reklamy na nový krém na tvár.
I am good at making bold decisions.,Som dobrý v robení odvážnych rozhodnutí.,Som dobrá v robení odvážnych rozhodnutí.
I hated when my kids cleaned the apartment and they weren't precise.,"Neznášal som, keď moje deti upratovali byt a neboli presné.","Neznášala som, keď moje deti upratovali byt a neboli presné."
"Since I can remember, I was never scared of anything.","Odkedy si pamätám, nikdy som sa ničoho nebál.","Odkedy si pamätám, nikdy som sa ničoho nebála."
I don't remember who I had sex with last night.,"Nepamätám si, s kým som mal včera v noci sex.","Nepamätám si, s kým som mala včera v noci sex."
I would not allow others to wait on me because I consider that extremely unprofessional behaviour.,"Nedovolil by som ostatným, aby na mňa čakali, pretože to považujem za mimoriadne neprofesionálne správanie.","Nedovolila by som ostatným, aby na mňa čakali, pretože to považujem za mimoriadne neprofesionálne správanie."
I had many sexual partners.,Mal som veľa sexuálnych partnerov.,Mala som veľa sexuálnych partnerov.
I carried the table up to the fourth floor.,Vyniesol som stôl na štvrté poschodie.,Vyniesla som stôl na štvrté poschodie.
They needed a strong hand and I provided it.,Potrebovali pevnú ruku a ja som im ju poskytol.,Potrebovali pevnú ruku a ja som im ju poskytla.
"When something bad happens to me, I need to be surrounded by friends.","Keď sa mi stane niečo zlé, potrebujem byť obklopený priateľmi.","Keď sa mi stane niečo zlé, potrebujem byť obklopená priateľmi."
I had a dancer's figure.,Mal som postavu tanečnice.,Mala som postavu tanečnice.
I would never let my emotions control me at work.,"Nikdy by som nedovolil, aby ma v práci ovládali emócie.","Nikdy by som nedovolila, aby ma v práci ovládali emócie."
I had to ask someone to walk me home because it was getting too late.,"Musel som niekoho požiadať, aby ma odprevadil domov, pretože už bolo neskoro.","Musela som niekoho požiadať, aby ma odprevadil domov, pretože už bolo neskoro."
I made the calculation based on the available data.,Výpočet som urobil na základe dostupných údajov.,Výpočet som urobila na základe dostupných údajov.
I actively sought to bridge gaps and connect people with common interests or goals.,Aktívne som sa snažil preklenúť priepasti a spojiť ľudí so spoločnými záujmami alebo cieľmi.,Aktívne som sa snažila preklenúť priepasti a spojiť ľudí so spoločnými záujmami alebo cieľmi.
I scored really high on the IQ tests.,V IQ testoch som dosiahol naozaj vysoké skóre.,V IQ testoch som dosiahla naozaj vysoké skóre.
I wasn't afraid of you and your friends.,Nebál som sa teba a tvojich priateľov.,Nebála som sa teba a tvojich priateľov.
I never lost at this game before.,Nikdy predtým som v tejto hre neprehral.,Nikdy predtým som v tejto hre neprehrala.
I told them to shower before going to bed.,"Povedal som im, aby sa pred spaním osprchovali.","Povedala som im, aby sa pred spaním osprchovali."
I always imagined how it must have felt to be in a bed with you.,"Vždy som si predstavoval, aký to musel byť pocit byť s tebou v posteli.","Vždy som si predstavovala, aký to musel byť pocit byť s tebou v posteli."
"Today, I am very nervous because I dreamt I was going to lose all my money.","Dnes som veľmi nervózny, pretože sa mi snívalo, že prídem o všetky svoje peniaze.","Dnes som veľmi nervózna, pretože sa mi snívalo, že prídem o všetky svoje peniaze."
I cut down the tree in front of the house.,Vyrúbal som strom pred domom.,Vyrezala som strom pred domom.
I had never any trouble expressing my ideas out loud.,Nikdy som nemal problém vyjadriť svoje myšlienky nahlas.,Nikdy som nemala problém vyjadriť svoje myšlienky nahlas.
I made fun of her crooked teeth.,Robil som si srandu z jej krivých zubov.,Robila som si srandu z jej krivých zubov.
I protected everyone from the thief.,Všetkých som ochránil pred zlodejom.,Všetkých som ochránila pred zlodejom.
I am proud of my figure because it is the result of hard work.,"Som hrdý na svoju postavu, pretože je výsledkom tvrdej práce.","Som hrdá na svoju postavu, pretože je výsledkom tvrdej práce."
I couldn't listen to those ridiculous conspiracy theories any longer.,Už som nemohol viac počúvať tie smiešne konšpiračné teórie.,Už som nemohla viac počúvať tie smiešne konšpiračné teórie.
I organized a book club meeting at a local café.,Zorganizoval som stretnutie knižného klubu v miestnej kaviarni.,Zorganizovala som stretnutie knižného klubu v miestnej kaviarni.
I offered that the next party could be at my place.,"Ponúkol som, že ďalšia párty môže byť u mňa.","Ponúkla som, že ďalšia párty môže byť u mňa."
I was thinking of sex all the time at work.,Celý čas v práci som myslel na sex.,Celý čas v práci som myslela na sex.
In karate I am the best of the group.,V karate som najlepší zo skupiny.,V karate som najlepšia zo skupiny.
I objectively evaluated my strengths and weaknesses.,Objektívne som zhodnotil svoje silné a slabé stránky.,Objektívne som zhodnotila svoje silné a slabé stránky.
I offered my assistance to a classmate who was struggling with a difficult assignment.,"Ponúkol som svoju asistenciu spolužiakovi, ktorý zápasil s ťažkou úlohou.","Ponúkla som svoju asistenciu spolužiakovi, ktorý zápasil s ťažkou úlohou."
I felt anxious for no apparent reason.,Cítil som úzkosť bez zjavného dôvodu.,Cítila som úzkosť bez zjavného dôvodu.
I like planning parties.,Rád plánujem večierky.,Rada plánujem večierky.
For Christmas I organised a collection of clothes for homeless people.,Na Vianoce som zorganizoval zbierku oblečenia pre ľudí bez domova.,Na Vianoce som zorganizovala zbierku oblečenia pre ľudí bez domova.
I have always taken responsibility for all my decisions.,Vždy som niesol zodpovednosť za všetky svoje rozhodnutia.,Vždy som brala zodpovednosť za všetky svoje rozhodnutia.
I could not invite the girl over because my place was too messy.,"Nemohol som to dievča pozvať, pretože moje miesto bolo príliš neporiadne.","Nemohla som to dievča pozvať, pretože moje miesto bolo príliš neporiadne."
I never doubted myself.,Nikdy som o sebe nepochyboval.,Nikdy som o sebe nepochybovala.
"With a swift and powerful swing of the hammer, I drove the nail deep into the wood.",Rýchlym a silným švihom kladiva som zatĺkol klinec hlboko do dreva.,Rýchlym a silným švihom kladiva som zatĺkla klinec hlboko do dreva.
I decided to move for a job and my family went with me.,Rozhodol som sa presťahovať za prácou a moja rodina išla so mnou.,Rozhodla som sa presťahovať za prácou a moja rodina išla so mnou.
I have always been afraid of spiders although I know they cannot hurt me.,"Vždy som sa bál pavúkov, hoci viem, že mi nemôžu ublížiť.","Vždy som sa bála pavúkov, hoci viem, že mi nemôžu ublížiť."
I signed up for a professional course in communication.,Prihlásil som sa na odborný kurz komunikácie.,Prihlásila som sa na odborný kurz komunikácie.
I told them to call me when they were ready to talk calmly.,"Povedal som im, aby mi zavolali, keď budú pripravení pokojne hovoriť.","Povedala som im, aby mi zavolali, keď budú pripravení pokojne hovoriť."
I would like to try diving with sharks.,Chcel by som skúsiť potápanie so žralokmi.,Chcela by som skúsiť potápanie so žralokmi.
I could not stop looking at their hot body.,Nemohol som sa prestať pozerať na ich horúce telo.,Nemohla som sa prestať pozerať na ich horúce telo.
I am sad when I don't have sex.,"Som smutný, keď nemám sex.","Som smutná, keď nemám sex."
I offered a supportive ear.,Ponúkol som podporné ucho.,Ponúkla som podporné ucho.
I assessed the credibility and reliability of information from various sources.,Hodnotil som dôveryhodnosť a spoľahlivosť informácií z rôznych zdrojov.,Hodnotila som dôveryhodnosť a spoľahlivosť informácií z rôznych zdrojov.
I focused on improving our family's financial well-being.,Zameral som sa na zlepšenie finančného blahobytu našej rodiny.,Zamerala som sa na zlepšenie finančného blahobytu našej rodiny.
"After the break-up, I had to see a psychologist.",Po rozchode som musel navštíviť psychológa.,Po rozchode som musela navštíviť psychológa.
I dealt with all the paperwork.,Vybavil som všetky papiere.,Vybavila som všetky papiere.
"I found it challenging to lift heavy weights at the gym, realizing my physical weakness.","Zistil som, že je náročné dvíhať ťažké váhy v posilňovni, uvedomujúc si svoju fyzickú slabosť.","Zistila som, že je náročné dvíhať ťažké váhy v posilňovni, uvedomujúc si svoju fyzickú slabosť."
I like when my employees listen to what I say.,"Mám rád, keď moji zamestnanci počúvajú, čo hovorím.","Mám rada, keď moji zamestnanci počúvajú, čo hovorím."
I prioritised my family's financial stability.,Uprednostnil som finančnú stabilitu mojej rodiny.,Uprednostnila som finančnú stabilitu mojej rodiny.
I started saving up money years ago so we can buy a house soon.,"Pred rokmi som začal šetriť peniaze, aby sme si čoskoro mohli kúpiť dom.","Pred rokmi som začala šetriť peniaze, aby sme si čoskoro mohli kúpiť dom."
Today I bought a basket so we could go on a picnic.,"Dnes som si kúpil košík, aby sme mohli ísť na piknik.","Dnes som si kúpila košík, aby sme mohli ísť na piknik."
I could easily swim across that whole lake.,Kľudne by som mohol preplávať celé to jazero.,Kľudne by som mohla preplávať celé to jazero.
I instantly felt we'd become best friends.,"Okamžite som cítil, že sa z nás stali najlepší priatelia.","Okamžite som cítila, že sa z nás stali najlepší priatelia."
I was driving so fast.,Šoféroval som tak rýchlo.,Jazdila som tak rýchlo.
I have always been able to motivate others.,Vždy som dokázal motivovať ostatných.,Vždy som dokázala motivovať ostatných.
"I would like to kiss you, are you alright with it?","Chcel by som ťa pobozkať, si s tým v poriadku?","Chcela by som ťa pobozkať, si s tým v poriadku?"
I provided him with a compassionate and empathetic presence.,Poskytol som mu súcitnú a empatickú prítomnosť.,Poskytla som mu súcitnú a empatickú prítomnosť.
I always took care of other people problems.,Vždy som sa staral o problémy iných ľudí.,Vždy som sa starala o problémy iných ľudí.
I don't like being told how to do my job.,"Nemám rád, keď mi niekto hovorí, ako mám robiť svoju prácu.","Nemám rada, keď mi niekto hovorí, ako mám robiť svoju prácu."
I like doing dishes whilst listening to podcasts.,Rád umývam riad pri počúvaní podcastov.,Rada umývam riad pri počúvaní podcastov.
I hated the idea of celibacy.,Nenávidel som myšlienku celibátu.,Nenávidela som myšlienku celibátu.
I have offered accommodation to two refugees.,Ponúkol som ubytovanie dvom utečencom.,Ponúkla som ubytovanie dvom utečencom.
I can supress my emotions in order to act rationally.,"Dokážem potlačiť svoje emócie, aby som konal racionálne.","Dokážem potlačiť svoje emócie, aby som konala racionálne."
I like watching action movies.,Rád pozerám akčné filmy.,Rada pozerám akčné filmy.
I had such a terrible mood swings.,Mal som také strašné zmeny nálad.,Mala som také strašné zmeny nálad.
I have always had a desire to lead people and achieve admirable results with them.,Vždy som mal túžbu viesť ľudí a dosahovať s nimi obdivuhodné výsledky.,Vždy som mala túžbu viesť ľudí a dosahovať s nimi obdivuhodné výsledky.
I received an award for the best team leader.,Dostal som cenu za najlepšieho lídra tímu.,Dostala som cenu za najlepšieho lídra tímu.
I don't want to be financially dependent on anyone.,Nechcem byť na nikom finančne závislý.,Nechcem byť na nikom finančne závislá.
I often imagined them naked.,Často som si ich predstavoval nahých.,Často som si ich predstavovala nahých.
"My job required a lot of physical strength, so I exercised a lot.","Moja práca si vyžadovala veľa fyzickej sily, takže som veľa cvičil.","Moja práca si vyžadovala veľa fyzickej sily, takže som veľa cvičila."
I enrolled in the voluntary military unit.,Prihlásil som sa do dobrovoľnej vojenskej jednotky.,Prihlásila som sa do dobrovoľnej vojenskej jednotky.
I never knew the word failure.,Nikdy som nepoznal slovo zlyhanie.,Nikdy som nepoznala slovo zlyhanie.
I vacuumed the entire floor.,Povysával som celú podlahu.,Vysávala som celú podlahu.
I have always tried to create an inspiring vision of the future that motivates and inspires my team.,"Vždy som sa snažil vytvoriť inšpiratívnu víziu budúcnosti, ktorá motivuje a inšpiruje môj tím.","Vždy som sa snažila vytvoriť inšpiratívnu víziu budúcnosti, ktorá motivuje a inšpiruje môj tím."
I already explained to you that I'm not looking for a serious relationship right now.,"Už som ti vysvetlil, že teraz nehľadám vážny vzťah.","Už som ti vysvetlila, že teraz nehľadám vážny vzťah."
I could seduce you so easily.,Mohol by som ťa tak ľahko zviesť.,Mohla by som ťa tak ľahko zviesť.
I am proud of my teamleading skills.,Som hrdý na svoje schopnosti viesť tím.,Som hrdá na svoje schopnosti viesť tím.
I made sure my figure was perfect for the summer.,"Uistil som sa, že moja postava je ideálna na leto.","Uistila som sa, že moja postava je ideálna na leto."
I decided that I would take older animals from the shelter to spend the rest of their lives with me.,"Rozhodol som sa, že si vezmem staršie zvieratá z útulku, aby so mnou strávili zvyšok života.","Rozhodla som sa, že si vezmem staršie zvieratá z útulku, aby so mnou strávili zvyšok života."
I bought a new airsoft gun.,Kúpil som si novú airsoftovú zbraň.,Kúpila som si novú airsoftovú zbraň.
I founded a company which won an award.,"Založil som spoločnosť, ktorá získala ocenenie.","Založila som spoločnosť, ktorá získala ocenenie."
I'm better suited for physically demanding jobs or tasks than you.,Som vhodnejší na fyzicky náročné práce alebo úlohy ako vy.,Som vhodnejšia na fyzicky náročné práce alebo úlohy ako vy.
"Wherever I went, my team followed me.","Kamkoľvek som išiel, môj tím ma nasledoval.","Kamkoľvek som išla, môj tím ma nasledoval."
I ordered a lot of new board games.,Objednal som si veľa nových spoločenských hier.,Objednala som si veľa nových spoločenských hier.
I like to read to my kids before they go to sleep.,"Rád čítam svojim deťom predtým, ako idú spať.","Rada čítam svojim deťom predtým, ako idú spať."
I wanted the promotion very badly.,Veľmi som chcel povýšenie.,Veľmi som chcela povýšenie.
I am very objective.,Som veľmi objektívny.,Som veľmi objektívna.
They asked me if I've slept with my partner already.,"Pýtali sa ma, či som už s partnerom spal.","Pýtali sa ma, či som už s partnerom spala."
I'm way too emotional since that breakup.,Od toho rozchodu som príliš emotívny.,Od toho rozchodu som príliš emotívna.
I drove the kids to school.,Vozil som deti do školy.,Vozila som deti do školy.
"It was a hard and requiring job, so I took it.","Bola to ťažká a náročná práca, tak som to vzal.","Bola to ťažká a vyžadujúca práca, tak som to vzal."
I raced them at the intersection but their car was too slow.,"Pretekal som s nimi na križovatke, ale ich auto bolo príliš pomalé.","Pretekala som s nimi na križovatke, ale ich auto bolo príliš pomalé."
"I would never let my partner go to work in unironed clothes, that would be shameful.","Nikdy by som svojho partnera nepustil do práce v nevyžehlenom oblečení, to by bola hanba.","Nikdy by som svojho partnera nepustila do práce v nevyžehlenom oblečení, to by bola hanba."
They asked me for some change and I gave it to them.,Požiadali ma o nejaké drobné a ja som im ich dal.,Požiadali ma o nejaké drobné a ja som im ich dala.
"I am employed, but in my spare time I work in a nursing home.","Som zamestnaný, ale vo voľnom čase pracujem v domove dôchodcov.","Som zamestnaná, ale vo voľnom čase pracujem v domove dôchodcov."
"I do not like gossips, it is rarely based on the truth.","Nemám rád klebety, málokedy sa zakladajú na pravde.","Nemám rada klebety, málokedy sa zakladajú na pravde."
"I made a team of experts, and we worked together and made the project successful.","Vytvoril som tím odborníkov, spolupracovali sme a projekt bol úspešný.","Vytvorila som tím odborníkov, spolupracovali sme a projekt bol úspešný."
"It's a logical decision, but I decided otherwise.","Je to logické rozhodnutie, ale rozhodol som sa inak.","Je to logické rozhodnutie, ale rozhodla som sa inak."
I am convinced that intuition never lies.,"Som presvedčený, že intuícia nikdy neklame.","Som presvedčená, že intuícia nikdy neklame."
I exaggerated my stories.,Preháňal som svoje príbehy.,Prehnala som svoje príbehy.
I designed the entire machine.,Navrhol som celý stroj.,Navrhla som celý stroj.
I was always thinking about sex.,Vždy som myslel na sex.,Vždy som myslela na sex.
Am I the only one who keeps looking around on my walk through the woods to see if anyone is following me?,"Som jediný, kto sa na prechádzke lesom stále obzerá, či ma niekto nesleduje?","Som jediná, kto sa na prechádzke lesom stále obzerá, či ma niekto nesleduje?"
I never believed in any higher power.,Nikdy som neveril v žiadnu vyššiu moc.,Nikdy som neverila v žiadnu vyššiu moc.
I did not need your help.,Nepotreboval som tvoju pomoc.,Nepotrebovala som tvoju pomoc.
"Through meditation, I learned how to deal with anger.","Prostredníctvom meditácie som sa naučil, ako sa vysporiadať s hnevom.","Prostredníctvom meditácie som sa naučila, ako sa vysporiadať s hnevom."
I offered them a workshop on critical thinking.,Ponúkol som im workshop o kritickom myslení.,Ponúkla som im workshop o kritickom myslení.
My strong weapon is that I am charismatic.,"Mojou silnou zbraňou je, že som charizmatický.","Mojou silnou zbraňou je, že som charizmatická."
"I tried to wash the dishes, but my partner didn't let me.","Snažil som sa umyť riad, ale partner mi to nedovolil.","Snažila som sa umyť riad, ale partner mi to nedovolil."
"Confidence comes naturally to me, I never feel that I can't achieve something.","Dôvera je pre mňa prirodzená, nikdy nemám pocit, že by som niečo nedokázal.","Dôvera je pre mňa prirodzená, nikdy nemám pocit, že by som niečo nedokázala."
I am communicative.,Som komunikatívny.,Som komunikatívna.
I failed the endurance competition.,Neuspel som vo vytrvalostnej súťaži.,Zlyhala som vo vytrvalostnej súťaži.
I hosted a charity fundraiser.,Usporiadal som charitatívnu zbierku.,Organizovala som charitatívnu zbierku.
"I know I shouldn't based decisions on my emotions, but it's hard for me.","Viem, že by som sa nemal rozhodovať na základe emócií, ale je to pre mňa ťažké.","Viem, že by som sa nemala rozhodovať na základe emócií, ale je to pre mňa ťažké."
I'm scared to be home alone.,Bojím sa byť sám doma.,Bojím sa byť sama doma.
I didn't want to wait with sex until marriage.,Nechcel som čakať so sexom až do manželstva.,Nechcela som čakať so sexom až do manželstva.
"I engaged in an intense sword fight, my physical strength and skill combining to create a mesmerizing display of power.","Zapojil som sa do intenzívneho boja s mečom, moja fyzická sila a zručnosť sa spojili a vytvorili očarujúce zobrazenie sily.","Zapojila som sa do intenzívneho boja s mečom, moja fyzická sila a zručnosť sa spojili a vytvorili očarujúce zobrazenie sily."
"I didn't insist, because they were in a difficult situation.","Netrval som na tom, pretože boli v ťažkej situácii.","Netrvala som na tom, pretože boli v ťažkej situácii."
Thanks to volunteering I met a lot of great people.,Vďaka dobrovoľníctvu som spoznal veľa skvelých ľudí.,Vďaka dobrovoľníctvu som spoznala veľa skvelých ľudí.
I had to be the centre of attention.,Musel som byť stredobodom pozornosti.,Musela som byť stredobodom pozornosti.
I am disgusted by how some people walk around this dirty.,"Som znechutený tým, ako niektorí ľudia chodia takto špinaví.","Som znechutená tým, ako niektorí ľudia chodia takto špinaví."
I am competent at leading the company.,Som kompetentný vo vedení spoločnosti.,Som kompetentná vo vedení spoločnosti.
I always decorated walls in school.,Vždy som zdobil steny v škole.,Vždy som zdobila steny v škole.
I'm very explosive.,Som veľmi výbušný.,Som veľmi výbušná.
I like when everything is clean.,"Mám rád, keď je všetko čisté.","Mám rada, keď je všetko čisté."
I prayed that things would go smoothly.,"Modlil som sa, aby veci prebehli hladko.","Modlila som sa, aby veci prebehli hladko."
"The bag is too heavy for me, because I'm weak.","Taška je pre mňa príliš ťažká, pretože som slabý.","Taška je pre mňa príliš ťažká, pretože som slabá."
I would never talk behind my bosses back.,Nikdy by som nehovoril za chrbtom svojich šéfov.,Nikdy by som nehovorila za chrbtom svojich šéfov.
I like having attention when I'm out.,"Mám rád pozornosť, keď som vonku.","Mám rada pozornosť, keď som vonku."
"When the snowstorm came, I helped people to dig up their cars.","Keď prišla snehová búrka, pomáhal som ľuďom rozkopať autá.","Keď prišla snehová búrka, pomohla som ľuďom rozkopať autá."
I don't like it when others tell me how to take care of my family.,"Nemám rád, keď mi iní hovoria, ako sa mám starať o rodinu.","Nemám rada, keď mi iní hovoria, ako sa mám starať o rodinu."
I have an older neighbour with whom I agreed that we would go for a walk together at least once a week.,"Mám staršieho suseda, s ktorým som sa dohodol, že aspoň raz do týždňa pôjdeme spolu na prechádzku.","Mám staršieho suseda, s ktorým som sa dohodla, že aspoň raz do týždňa pôjdeme spolu na prechádzku."
I realised that it is okay if someone disagrees with me.,"Uvedomil som si, že je v poriadku, ak so mnou niekto nesúhlasí.","Uvedomila som si, že je v poriadku, ak so mnou niekto nesúhlasí."
I promised the kids that on Sundays I would cook them their favourite foods.,"Sľúbil som deťom, že v nedeľu im uvarím ich obľúbené jedlá.","Sľúbila som deťom, že v nedeľu im uvarím ich obľúbené jedlá."
I always wanted to be in a leading position.,Vždy som chcel byť vo vedúcej pozícii.,Vždy som chcela byť vo vedúcej pozícii.
I have never feared anyone or anything.,Nikdy som sa nikoho a ničoho nebál.,Nikdy som sa nikoho a ničoho nebála.
"When my friends came, I was like a kid again.","Keď prišli moji priatelia, bol som opäť ako dieťa.","Keď prišli moji priatelia, bola som opäť ako dieťa."
I lifted the heavy brick from the sidewalk.,Zdvihol som ťažkú tehlu z chodníka.,Zdvihla som ťažkú tehlu z chodníka.
I made a lot of friends among the CEOs.,Medzi generálnymi riaditeľmi som si našiel veľa priateľov.,Medzi generálnymi riaditeľmi som si našla veľa priateľov.
I signed up for public speaking workshop.,Prihlásil som sa na workshop rečníctva.,Prihlásila som sa na workshop rečníctva.
"I would never wear dirty clothes, it would be unacceptable if someone saw me.","Nikdy by som nenosil špinavé oblečenie, bolo by neprijateľné, keby ma niekto videl.","Nikdy by som nenosila špinavé oblečenie, bolo by neprijateľné, keby ma niekto videl."
"I have learned from my mistakes, so I will not repeat them.","Poučil som sa zo svojich chýb, takže ich nebudem opakovať.","Poučila som sa zo svojich chýb, takže ich nebudem opakovať."
I panicked when the lights went off.,"Spanikáril som, keď zhasli svetlá.","Spanikárila som, keď zhasli svetlá."
I tried tantric sex.,Skúsil som tantrický sex.,Skúsila som tantrický sex.
"Climbing that mountain, I wasn't scared, not even for a second.",Pri výstupe na tú horu som sa nebál ani na sekundu.,Pri výstupe na tú horu som sa nebála ani na sekundu.
I avoided expressing disagreement or contradicting others.,Vyhýbal som sa vyjadreniu nesúhlasu alebo protirečenia ostatným.,Vyhýbala som sa vyjadreniu nesúhlasu alebo protirečenia ostatným.
I've never been afraid of anything.,Nikdy som sa ničoho nebál.,Nikdy som sa ničoho nebála.
"Safety precautions are for losers, I never followed them.","Bezpečnostné opatrenia sú pre porazených, nikdy som ich nedodržiaval.","Bezpečnostné opatrenia sú pre porazených, nikdy som ich nedodržiavala."
I knew I had the skills and resilience to overcome obstacles.,"Vedel som, že mám schopnosti a odolnosť na prekonávanie prekážok.","Vedela som, že mám schopnosti a odolnosť na prekonávanie prekážok."
I feel happy when I can buy you a gift.,"Som šťastný, keď ti môžem kúpiť darček.","Som šťastná, keď ti môžem kúpiť darček."
I could have helped you.,Mohol som ti pomôcť.,Mohla som ti pomôcť.
I'm sure I'll get the job.,"Som si istý, že tú prácu dostanem.","Som si istá, že tú prácu dostanem."
I've been told to smile more.,"Bolo mi povedané, aby som sa viac usmieval.","Bolo mi povedané, aby som sa viac usmievala."
I volunteered to sweep the hallway because someone can't do it as meticulously as I can.,"Dobrovoľne som pozametal chodbu, pretože niekto to nedokáže urobiť tak precízne ako ja.","Dobrovoľne som pozametala chodbu, pretože niekto to nedokáže urobiť tak precízne ako ja."
I applied critical thinking skills when reading news articles.,Pri čítaní spravodajských článkov som uplatnil schopnosti kritického myslenia.,Pri čítaní spravodajských článkov som uplatnila schopnosti kritického myslenia.
I was afraid they had been hurt.,"Bál som sa, že boli zranení.","Bála som sa, že boli zranení."
I prayed that the maths test will be easy.,"Modlil som sa, aby bol test z matematiky ľahký.","Modlila som sa, aby bol test z matematiky ľahký."
"I stepped back, so they could have what they wanted.","Ustúpil som, aby mohli mať, čo chceli.","Ustúpila som, aby mohli mať, čo chceli."
